fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,unused1,unused2,unused3,unused4,unused5,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,unused6,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,unused7,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,unused8,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered,cdcTransmissionLevel
33,US,NH,,state,,iso1:us#iso2:us-nh,,1359711,0.118,other,90.1,0.02,1.02,0.1,,,,,,0.84,5,2,5,2,1,,2,186678,1843,156105,2997305,140,2810,2177,460,,264,221,118,,3622,,,,2021-12-21,https://covidactnow.org/us/new_hampshire-nh,,,7,,3
34,US,NJ,,state,,iso1:us#iso2:us-nj,,8882190,0.11,other,74.1,0.09,1.22,0.1,,,,,,0.44,3,2,3,2,2,,0,1352812,28730,1339889,19642274,3000,21709,15156,2147,,3034,1350,348,,7095,18164895,7313951,6208586,2021-12-21,https://covidactnow.org/us/new_jersey-nj,0.823,0.699,16,14549661,3
35,US,NM,,state,,iso1:us#iso2:us-nm,,2096829,0.138,other,52.2,0.07,0.91,0.1,,,,,,0.9,3,2,3,2,1,,3,339894,5616,589925,3929951,375,4266,3274,633,,467,419,175,,3104,3775505,1670472,1377245,2021-12-21,https://covidactnow.org/us/new_mexico-nm,0.797,0.657,37,3369447,3
32,US,NV,,state,,iso1:us#iso2:us-nv,,3080156,0.107,other,26.2,0.15,1.06,0.1,,,,,,0.82,3,2,3,1,1,,2,485401,8311,615724,4284100,600,8277,6494,709,,809,662,160,,2115,5002250,2112597,1724065,2021-12-21,https://covidactnow.org/us/nevada-nv,0.686,0.56,33,4216754,3
36,US,NY,,state,,iso1:us#iso2:us-ny,,19453561,0.09,other,87.0,0.11,1.25,0.1,,,,,,0.74,5,1,5,1,2,,1,2976928,58147,3229370,65950119,9620,44138,35039,4818,,4755,3535,797,,20439,37989155,16013806,13829671,2021-12-21,https://covidactnow.org/us/new_york-ny,0.823,0.711,50,33199493,3
39,US,OH,,state,,iso1:us#iso2:us-oh,,11689100,0.165,other,83.3,0.03,1.1,0.1,,,,,,0.81,5,2,5,2,1,,2,1855222,28028,1569569,16854887,1659,28125,21808,5227,,3907,3150,1224,,8082,19516375,7008854,6411645,2021-12-21,https://covidactnow.org/us/ohio-oh,0.6,0.549,0,15540819,3
40,US,OK,,state,,iso1:us#iso2:us-ok,,3956971,0.114,other,19.9,0.18,0.9,0.1,,,,,,0.85,2,2,2,1,0,,2,689236,11435,640750,2713415,700,8306,5837,784,,855,725,232,,3330,6156640,2576163,2098408,2021-12-21,https://covidactnow.org/us/oklahoma-ok,0.651,0.53,0,5195897,3
41,US,OR,,state,,iso1:us#iso2:us-or,,4217737,0.037,other,18.9,0.16,0.97,0.1,,,,,,0.74,2,1,2,1,1,,1,407153,5534,357615,5613055,656,6778,5265,454,,766,566,101,,1861,8396565,3095193,2785541,2021-12-21,https://covidactnow.org/us/oregon-or,0.734,0.66,3,6688653,3
42,US,PA,,state,,iso1:us#iso2:us-pa,,12801989,0.136,other,57.3,0.04,1.01,0.1,,,,,,0.85,3,2,3,2,1,,2,1894514,35418,1844565,19939112,1508,28139,23798,4914,,3404,2890,953,,4255,25033525,10905285,7810329,2021-12-21,https://covidactnow.org/us/pennsylvania-pa,0.852,0.61,20,19725436,3
72,US,PR,,state,,iso1:us#iso2:us-pr,,3193694,0.121,other,39.3,,1.92,0.12,,,,,,0.68,3,2,3,4,3,,0,231916,3286,128431,1833088,10,9340,5407,53,,667,455,6,,2434,6243690,2802443,2438458,2021-12-21,https://covidactnow.org/us/puerto_rico-pr,0.877,0.764,1,5760018,3
44,US,RI,,state,,iso1:us#iso2:us-ri,,1059361,0.054,other,121.5,0.03,1.16,0.1,,,,,,0.86,5,1,5,2,2,,3,212715,2998,250657,5486528,200,2321,1962,275,,143,123,38,,3962,2213315,923117,801675,2021-12-21,https://covidactnow.org/us/rhode_island-ri,0.871,0.757,6,1897285,3
45,US,SC,,state,,iso1:us#iso2:us-sc,,5148714,0.067,other,22.0,0.14,1.11,0.1,,,,,,0.73,2,1,2,1,2,,1,940135,14498,975195,9234462,775,10647,8074,546,,1308,955,153,,3928,8715215,3194920,2714565,2021-12-21,https://covidactnow.org/us/south_carolina-sc,0.621,0.527,37,6572005,3
46,US,SD,,state,,iso1:us#iso2:us-sd,,884659,0.12,other,39.4,0.2,0.83,0.1,,,,,,0.7,3,2,3,1,0,,0,174021,2438,118024,814300,350,2550,1496,239,,244,172,71,,366,1560555,616683,498968,2021-12-21,https://covidactnow.org/us/south_dakota-sd,0.697,0.564,5,1227865,3
47,US,TN,,state,,iso1:us#iso2:us-tn,,6829174,0.085,other,29.4,0.12,1.07,0.1,,,,,,0.73,3,1,3,1,1,,1,1323962,17894,1101774,8321271,1226,18424,13037,1238,,2261,1644,346,,5551,10737180,3969992,3475571,2021-12-21,https://covidactnow.org/us/tennessee-tn,0.581,0.509,66,8695949,3
48,US,TX,,state,,iso1:us#iso2:us-tx,,28995881,0.093,other,23.2,0.11,1.21,0.1,,,,,,0.83,2,1,2,1,2,,2,4395845,75414,4636817,35510555,3722,60190,45177,3728,,6665,5523,984,,10569,51276595,19128695,16363521,2021-12-21,https://covidactnow.org/us/texas-tx,0.66,0.564,22,39624081,3
49,US,UT,,state,,iso1:us#iso2:us-ut,,3205958,0.087,other,30.5,,0.89,0.1,,,,,,,3,1,3,4,0,,4,620342,3717,692333,5298398,1200,5571,3378,538,,616,421,188,,2502,5305740,2132008,1856424,2021-12-21,https://covidactnow.org/us/utah-ut,0.665,0.579,13,4381935,3
51,US,VA,,state,,iso1:us#iso2:us-va,,8535519,0.103,other,38.5,0.09,1.17,0.1,,,,,,0.74,3,2,3,2,2,,1,1023698,15136,1274577,10720143,1547,17139,12632,1477,,1905,1404,341,,10308,16539545,6661118,5758075,2021-12-21,https://covidactnow.org/us/virginia-va,0.78,0.675,53,14102443,3
50,US,VT,,state,,iso1:us#iso2:us-vt,,623989,0.05,other,65.3,0.03,0.96,0.1,,,,,,0.67,3,1,3,2,1,,0,58935,455,79168,2851324,53,1228,830,59,,98,66,21,,240,1385500,550574,477991,2021-12-21,https://covidactnow.org/us/vermont-vt,0.882,0.766,3,1219694,3
53,US,WA,,state,,iso1:us#iso2:us-wa,,7614893,0.082,other,22.3,0.25,1.05,0.1,,,,,,0.77,2,1,2,1,1,,1,808383,9741,634324,9353052,2122,11114,8893,812,,1160,889,172,,5285,14930705,5691346,5124157,2021-12-21,https://covidactnow.org/us/washington-wa,0.747,0.673,16,12197506,3
55,US,WI,,state,,iso1:us#iso2:us-wi,,5822434,0.124,other,68.8,0.03,1.01,0.1,,,,,,0.72,3,2,3,2,1,,1,1061073,10763,1094318,12436846,600,12272,8950,1850,,1526,1097,472,,7366,9880435,3934985,3580756,2021-12-21,https://covidactnow.org/us/wisconsin-wi,0.676,0.615,96,8902750,3
54,US,WV,,state,,iso1:us#iso2:us-wv,,1792147,0.114,other,58.7,0.05,1.02,0.1,,,,,,0.8,3,2,3,2,1,,1,315571,5191,347806,3850003,248,5843,4627,636,,615,491,194,,780,,,,2021-12-21,https://covidactnow.org/us/west_virginia-wv,,,27,,3
56,US,WY,,state,,iso1:us#iso2:us-wy,,578759,0.046,other,16.9,0.1,0.77,0.12,,,,,,0.39,2,1,2,2,0,,0,113762,1502,87786,1109471,50,1598,692,84,,140,54,20,,178,845395,319512,272235,2021-12-21,https://covidactnow.org/us/wyoming-wy,0.552,0.47,0,670562,3
